AFF_LOVE_POINT	Love points: %d%%
CZ_REWARD_TOOLTIP_WEEKLY	Day
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Friday
CZ_REWARD_TOOLTIP_WEEKLY_MON	Monday
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Saturday
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Saturday, Sunday
CZ_REWARD_TOOLTIP_WEEKLY_THU	Thursday
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Tuesday
CZ_REWARD_TOOLTIP_WEEKLY_WED	Wednesday
CZ_REWARD_TOOLTIP_YELLOW_BOX	Yellow Case
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Completed Yellow Case %d times
BEAD	Animasphere
SHOP_NOT_ENOUGH_LUCKY	Alma hakkýnýz kalmadý.
NEW_AFFECT_AUTO_PICK_UP	Otomatik alma etkinleþtirildi.	SNA
SWITCHBOT_ACTIVE	Sisteminiz su anda efsunlanýyor, sihir botu girdiginiz degere ulasana veya siz onu durdurana kadar devam edecek.
TRACK_OPEN_SHOP	Magaza
TRACK_DUNGEON_INFORMATION	Dungeon#Information
TRACK_BOSS_INFORMATION	World Boss#Information
TRACK_DUNGEON_NOTICE_INFORMATION	Notice me when Dungeon#is available
TRACK_BOSS_NOTICE_INFORMATION	Notice me when World#Boss is available
TRACK_DUNGEON_LEVEL_FIELD	Level: %d - %d
TRACK_BOSS_LEVEL_FIELD	Recommended Level: %d - %d
TRACK_DUNGEON_PARTY_FIELD	Party: %s
TRACK_BOSS_PARTY_FIELD	Boss Cooldown: %s
TRACK_DUNGEON_PARTY_NEED	Necessary
TRACK_DUNGEON_PARTY_NOT_NEED	Not Necessary
TRACK_DUNGEON_COOLDOWN_FIELD	Dungeon Cooldown: %s
TRACK_BOSS_COOLDOWN_FIELD	Map: %s
TRACK_STATUS_FIELD	Status: %s
TRACK_STATUS_AVAILABLE	Available
TRACK_STATUS_ALIVE	Alive    CH%d
TRACK_DUNGEON_KEY	Dungeon Key
TRACK_TELEPORT	Teleport
TRACK_WINDOW_TITLE	[F5] Track Window
TRACK_DUNGEON_READY	[Dungeon] %s is available!
TRACK_BOSS_READY	[WorldBoss] %s is spawned!
TRACK_WB_1	General Wu
TRACK_WB_1_MAP	Zodiac Temple
TRACK_WB_2	General You
TRACK_WB_3	General Chou
TRACK_WB_4	General Xu
TRACK_WB_5	General Chen
TRACK_WB_6	Dune Guardian
TRACK_WB_6_MAP	Mount Odyssey
FISHGAME_TITLE	Fish
EXCHANGELOG_TITLE	Exchange Logs
EXCHANGELOG_OWNERNAME	Owner Name
EXCHANGELOG_TARGETNAME	Target Name
EXCHANGELOG_GOLDTRADED	Gold Traded
EXCHANGELOG_DATE	Date
EXCHANGELOG_IP	IP
EXCHANGELOG_CONTENT	Content
EXCHANGELOG_DELETESELECTED	Delete Selected
EXCHANGELOG_DELETEALL	Delete All
EXCHANGELOG_CHANGEPASS	Change Password
EXCHANGELOG_FAKETITLE	%s to %s
EXCHANGELOG_LOADING	Loading
EXCHANGELOG_INPUTTITLE	Delete Log
EXCHANGELOG_INPUTDESC	Put your character delete value
EXCHANGELOG_INPUT_NOT_NUMBER	Please put number
EXCHANGELOG_INPUT_NOT_ENOUGHT_SIZE	Please put real delete character value
EXCHANGELOG_INPUT_NOT_SAME_CODE	This value is wrong
EXCHANGELOG_INPUT_NOT_HAS_LOG	Not has log to remove.
GAYA_BUY	Do you want buy {} for {} gaya?
GAYA_BOUGHT	You already buyed!
GAYA_OPEN_SLOT	Do you want open slot?
GAYA_NO_GEM	You don't has enought Gaya!
GAYA_REFRESH	Do you want refresh items?
NEW_AFFECT_VOTE4BUFF	Vote4Bonus	SNA
MINI_GAME_RUMI_DISCARD_QUESTION	Bu kartý atmak istediðinden emin misin?
MINI_GAME_RUMI_EXIT_QUESTION	Oyun turunu bitirip kazancýný almak mý istersin?
MINI_GAME_RUMI_EXIT_QUESTION2	Bu durumda puanlarýn ve kalan kartlarýn sýfýrlanýr!
MINI_GAME_RUMI_START_QUESTION	Oyuna katýlmak için %d Yang ödeme yapman gerekiyor. Ayrýca %d kart setine sahip olmalýsýn.
MINI_GAME_RUMI_START_QUESTION2	Oyunu baþlat?
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP1	Birden fazla %s kullanýrsan, ayný sayýda sandýk kazanýrsýn.
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP2	En fazla %d kral destesi kullanabilirsin.
MINI_GAME_CATCHKING_HELP_MSG1	Tüh! Kartýnýn deðeri daha düþük.\nPuan almýyorsun. Destenden yeni bir kart seç.
MINI_GAME_CATCHKING_HELP_MSG2	Aferin! Kartlarýn deðeri eþit.\n Oyun hamlen sona erdi. Destenden yeni bir kart seç.
MINI_GAME_CATCHKING_HELP_MSG3	Devam et! Kartýnýn deðeri daha yüksek.\nBir kart daha aç.
MINI_GAME_CATCHKING_HELP_MSG4	Açtýðýn kartýn menzilinde bir [5] vardý.\nMaalesef puan alamýyorsun. Þimdi kralýný seç [K].
MINI_GAME_CATCHKING_POPUP_CATCH_FAIL	Kral kaçtý! Oyun bitti. \nEn az 10 puan aldýysan, þimdi ödülünü etkinleþtirebilirsin.
MINI_GAME_CATCHKING_POPUP_REWARD_FAIL	Bir ödül etkinleþtiremezsin.
MINI_GAME_CATCHKING_SEARCH_NUMBER5	Yakýnda bir [5] var.
MINI_GAME_CATCHKING_START_QUESTION_01	Bu tur için senden çekilenler: %d Yang ve %s: %d adet
MINI_GAME_CATCHKING_START_QUESTION_02	Þimdi oynamak istiyor musun?
MINI_GAME_CATCHKING_TOOLTIP_CARD1	Þu kartý yakalayabilir: [1]
MINI_GAME_CATCHKING_TOOLTIP_CARD2	Þu kartlarý yakalayabilir: [1], [2]
MINI_GAME_CATCHKING_TOOLTIP_CARD3	Þu kartlarý yakalayabilir: [1], [2], [3]
MINI_GAME_CATCHKING_TOOLTIP_CARD4	Þu kartlarý yakalayabilir: [1], [2], [3], [4]
MINI_GAME_CATCHKING_TOOLTIP_CARD5	Þu kartlarý yakalayabilir: [1], [2], [3], [4], [5]\nBir diðer [5] açýlan kartýnla bitiþik ise,\n oyun hamlesi sonlandýrýlýr ve sen puan almazsýn.
MINI_GAME_CATCHKING_TOOLTIP_CARD6	Þu kartý yakalayabilir: [K]
MINI_GAME_CATCHKING_TOOLTIP_SCORE1	%s: 550 veya üzeri
MINI_GAME_CATCHKING_TOOLTIP_SCORE2	%s: 400 - 549 arasý
MINI_GAME_CATCHKING_TOOLTIP_SCORE3	%s: 10 - 399 arasý
MINI_GAME_CATCHKING_TOOLTIP_SCORE4	Tüm kartlarý açarsan 10 ekstra puan alýrsýn.
CARD_EVENT	Okey Card Event
CATCH_KING_EVENT	Catch King Event
TREASURE_KEY	Key Box Event
MISSION_STATUS_COUNT	|cffF6A800|Eemoji/e_wiki|e Durum:|r %d/%d
MISSION_TYPE_NAME	|cffF6A800|Eemoji/e_wiki|e Tip:|r %s
MISSION_TYPE_ALL_MONSTER	Tüm Canavarlar
MISSION_TYPE_ALL_METIN	Tüm Metinler
MISSION_TYPE_ALL_BOSS	Tüm Patronlar
MISSION_TYPE_LEVELRANGE	 (+-%d Lv)
MISSION_TYPE_SPECIAL	|cffF6A800|Eemoji/e_wiki|e Tip:|r %s
MISSION_EXP	|cffF6A800|Eemoji/e_wiki|e Exp:|r %s ~ %s
MISSION_GOLD	|cffF6A800|Eemoji/e_wiki|e Yang:|r %s ~ %s
MISSION_LEFTTIME	|cffF6A800|Eemoji/e_wiki|e Kalan süre:|r %s
MISSION_DELETE_TEXT	Görevi kaldýrmak mi istiyorsunuz?
MISSION_REWARD_TEXT	Ödül almak istiyor musunuz?
MISSION_END_TIME	|cffF6A800|Eemoji/e_wiki|e Bitirmek:|r %s
MISSION_REWARD_TITLE	|cffF6A800Ödül:|r
BEGGINER_EVENT	Acemi Etkinligi
LOCK_BONUS	Nº Bonus: %d (right click)
LOCK_BONUS2	Choose Bonus (right click)
COPY_ITEM	Bonus:
COPY_ITEM1	Right click to delete bonus
COPY_ITEM2	(Empty)
COPY_ITEM3	Sword
COPY_ITEM4	Dagger
COPY_ITEM5	Bow
COPY_ITEM6	Two Hand
COPY_ITEM7	Bell
COPY_ITEM8	Fan
COPY_ITEM9	Armour
COPY_ITEM10	Helmet
COPY_ITEM11	Shield
COPY_ITEM12	Bracelet
COPY_ITEM13	Shoes
COPY_ITEM14	Necklace
COPY_ITEM15	Earing
COPY_ITEM16	Costume
COPY_ITEM17	Hair
COPY_ITEM18	Mount
COPY_ITEM19	Sash
COPY_ITEM20	Weapon Skin
COPY_ITEM21	Sash Skin
COPY_ITEM22	Pet
COPY_ITEM23	Mount Skin
COPY_ITEM24	Pet skin
RANK_TITLE	Reward Info
SEARCH_TITLE	Search-shop
NEW_AFFECT_BRAVE_CAPE	Bravery Cape	SNA
EMOJI_SELL_ITEMS	Sell: |Eemoji/key_ctrl|e + |Eemoji/key_rclick|e
SELL_PRICE_INFO	[Selling Price]
SELL_PRICE_INFO_PCS	Piece: %s
SELL_PRICE_INFO_ALL	All: %s
BUFFI_TOOLTIP_INFO	This seal will summon a shaman with dragon shaman skills. A Nickname Scroll(Buffi) will unlock the heal shaman skills. The Skills are saved at your character, not at the Buffi Seal.
BUFFI_TOOLTIP_INFO2	Buffi Costumes do not offer any bonus.
EVENTBTNMAP	Event Calendar
DS_SET_INFO	Activate 6 Dragon Stones +6 in order to take advantage of the following bonuses:
AFFECT_THIEF	Thief's Gloves	SNA
AFFECT_EXP	Experience Ring	SNA
REWARD_115	First Level 115
REWARD_PET_115	First Pet Level 115
REWARD_120	First Level 120
REWARD_LEGENDARY_SKILL	First Legendary Skill
REWARD_LEGENDARY_SKILL_SET	First Legendary Skill Set
REWARD_THANDRUIL	First Thranduil Solo
REWARD_HYDRA	First Hydra Solo
REWARD_MELEY	First Meley Solo
REWARD_OFFLINESHOP_SLOT	First all Offline Shop Slots unlocked
REWARD_INVENTORY_SLOT	First all Normal/Special Inventory Slots unlocked
REWARD_AVERAGE	First 60 AVG on Lv.75 Weapon
REWARD_ELEMENT	First Element Talisman
REWARD_BATTLEPASS	First Complete Battlepass
REWARD_CUSTOM_SASH	First Custom Sash
REWARD_AURA	First Enlightened Dream Soul
REWARD_ENERGY	First Energy Crystal
REWARD_112_BIO	First Completed 112 Bio Quest
REWARD_120_BIO	First Completed 120 Bio Quest
REWARD_LEADER_SHIP	First Leadership on Legendary
REWARD_BUFFI_LEGENDARY_SKILL	First Buffi Legendary Skill
REWARD_WINDOW_TITLE	Reward Window
Solana2_POINTS	Vidra Points
JOTUN_DUNGEON	Jotun Thrym
NEW_EXCHANGE_ADDED	%s added %s.
NEW_EXCHANGE_YOU_READY	%s You are ready to trade.
NEW_EXCHANGE_YOU_ACCEPT	%s You accept the trade.
NEW_EXCHANGE_ACCEPT	%s %s accept the trade.
NEW_EXCHANGE_YOU_ABORT	%s You abort the trade.
NEW_EXCHANGE_ABORT	%s %s abort the trade.
NEW_EXCHANGE_LEVEL	Lv. %d
NEW_EXCHANGE_ALERT1	You are giving things away for nothing in exchange,
NEW_EXCHANGE_ALERT2	and won't be able to get the Yang or items back.
EXCHANGE_TITLE	Trade with %s
EXCHANGE_TITLE_LEVEL	Trade with %s (%d)
NEW_AFFECT_CRYSTAL	Energy Crystal	SNA
SEARCH_EMPTY_RESULT	No items were found for these search options.
SEARCH_NEED_SLOW	You need be slow...
WIKI_CUBE_INFO	Item Costs of %s
WIKI_COST	Costs
DUNGEON_TRACK_TITLE	[] Dungeon Info
DUNGEON_TRACK_NOTIFICATION	%s#is available
DUNGEON_TRACK_CHECKBOX	Send a notification when you can enter this dungeon again.
DUNGEON_TRACK_LEVEL_INFO	Required Level:
DUNGEON_TRACK_GROUP_INFO	Group Request:
DUNGEON_TRACK_COOLDOWN_INFO	Cooldown:
DUNGEON_TRACK_TICKET_INFO	Passage Ticket
DUNGEON_TRACK_SHOP_INFO	Dungeon Shop
DUNGEON_TRACK_TELEPORT_ENTER	Teleport into Dungeon.
DUNGEON_TRACK_WARP	Teleport to Dungeon Entry NPC.
DUNGEON_TRACK_TEST	Test if you can kill the dungeon boss, without paying the Entry Ticket. Polymorph Marble is usable for free.
DUNGEON_TRACK_PERSONAL_STATISTICS	Personal Statistics
DUNGEON_TRACK_RANK_COMPLETED	Rankings: Total Completed
DUNGEON_TRACK_RANK_FASTEST	Rankings: Fastest Time
DUNGEON_TRACK_RANK_DMG	Rankings: Max Dmg To Boss
DUNGEON_TRACK_COMPLETED	Completed:
DUNGEON_TRACK_FASTEST	Fastest:
DUNGEON_TRACK_DMG	Max Dmg To Boss:
DUNGEON_TRACK_SLOW_INFO	Please be slow.
DUNGEON_TRACK_TRUE	True
DUNGEON_TRACK_FALSE	False
DUNGEON_TRACK_MOVE_UP	Move Up
DUNGEON_TRACK_MOVE_DOWN	Move Down
DUNGEON_TRACK_HIDE	Hide
DUNGEON_TRACK_DEACTIVE	Deactive
DUNGEON_TRACK_ACTIVE	Available
DUNGEON_TRACK_WHISPER_MESSAGE	%s is ready.
DUNGEON_TRACK_HIGH_LEVEL	High Level
DUNGEON_TRACK_LOW_LEVEL	Low Level
DUNGEON_TRACK_RANK_INDEX	Rank
DUNGEON_TRACK_RANK_NAME	Name
DUNGEON_TRACK_RANK_LEVEL	Level
DUNGEON_TRACK_RANK_COMPLETED_TITLE	Total Completed
DUNGEON_TRACK_RANK_FASTEST_TITLE	Fastest Time
DUNGEON_TRACK_RANK_DMG_TITLE	Max Dmg To Boss
NEW_SYSTEM	----------------------------------------------------------------------------ENABLE_YOHARA_SYSTEM
STAT_TOOLTIP_ACTION	Actions
STAT_TOOLTIP_DODGE_PER	Chance to avoid arrows
STAT_TOOLTIP_EXP	EXP
STAT_TOOLTIP_HP	HP
STAT_TOOLTIP_LEVEL	Level
STAT_TOOLTIP_MAG_ATT	Magic attack value
STAT_TOOLTIP_MAG_DEF	Magical defence
STAT_TOOLTIP_MOVE_SPEED	Movement speed
STAT_TOOLTIP_PASSIVE	Relic Bonus
STAT_TOOLTIP_POINT	Points
STAT_TOOLTIP_REACTION	Reactions
STAT_TOOLTIP_SHP	You will receive a smaller deduction on your maximum HP on Yohara.
STAT_TOOLTIP_SIMMUNE	You will receive a smaller deduction on your resistance to status changes on Yohara.
STAT_TOOLTIP_SMOVE	You will receive a smaller deduction on your movement speed on Yohara.
STAT_TOOLTIP_SP	SP
STAT_TOOLTIP_SPECIAL_ACTION	Special Actions
STAT_TOOLTIP_SSTR	You will receive a smaller damage deduction on your attacks on Yohara.
STAT_TOOLTIP_STAT	Values
STAT_TOOLTIP_SUPPORT_SKILL	Secondary Skills
STAT_TOOLTIP_TAB_CHARACTER	Character
STAT_TOOLTIP_TAB_EMOTICON	Emotions
STAT_TOOLTIP_TAB_QUEST	Quests
STAT_TOOLTIP_TAB_SKILL	Skills
TOOLTIP_HIT_PCT	Precision +%d	SA
TOOLTIP_APPLY_RESIST_MOUNT_FALL	Fall Resistance +%d%%	SA
TOOLTIP_APPLY_MONSTER_DEFEND_BONUS	Resistance to monster attacks %d	SA
TOOLTIP_APPLY_ATTBONUS_ELEMENT	Elemental Power +%d%%	SA
NEW_SYSTEM	----------------------------------------------------------------------------
SELECT_NOT_JOIN_GUILD	No Guild
MESSENGER_TEAM_GROUP_NAME	Team
MESSENGER_TITLE	Messenger
MESSENGER_WHISPER	Whisper
MESSENGER_MOBILE	Mobile
MESSENGER_DELETE_FRIEND	Delete Friend
MESSENGER_OPEN_GUILD	Open Guild
LOGIN_FAILURE_BLOCK_ROUTHER	Your PC is Blocked, Please contact on Discord: uffo007
BUFF_AFFECT_REMOVE_QUESTION	Kaldirmak istediginizden emin misiniz? %s?
NEW_AFFECT_AUTO_HUNT	Auto Hunt	SNA
NEW_AFFECT_AUTO_METIN_FARM	Premium Metinfarm	SNA
