AFF_LOVE_POINT	Punto amore: %d%%
MINI_GAME_RUMI_EXIT_QUESTION2	Riceverai una ricompensa in base ai punti che hai guadagnato.
MINI_GAME_RUMI_START_QUESTION	Ti servono %d Yang e %d un mazzo di carte Okey.
MINI_GAME_RUMI_START_QUESTION2	Vuoi giocare?
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP1	Se scommetti più %s, sarai ricompensato con lo stesso numero di forzieri.
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP2	Maximum wager: %d King Decks.
MINI_GAME_CATCHKING_HELP_MSG1	Che peccato! Il valore della tua carta è inferiore.\nYou non guadagnare punti. Scegli una nuova carta dal tuo mazzo.
MINI_GAME_CATCHKING_HELP_MSG2	Molto bene! Le carte hanno lo stesso valore.\nYour il turno è finito. Scegli una nuova carta dal tuo mazzo.
MINI_GAME_CATCHKING_HELP_MSG3	Continuate così! Il valore della tua carta è più alto.\nTurn sopra un'altra carta.
MINI_GAME_CATCHKING_HELP_MSG4	C'era un [5] nel raggio della carta che hai rivelato.\nSadly non guadagni punti. Ora seleziona il tuo Re [K].
MINI_GAME_CATCHKING_POPUP_CATCH_FAIL	Il re è scappato! Il gioco è finito. \nSe hai guadagnato almeno 10 punti, ora puoi riscattare il tuo premio.
MINI_GAME_CATCHKING_POPUP_REWARD_FAIL	Non puoi riscattare alcun premio.
MINI_GAME_CATCHKING_SEARCH_NUMBER5	C'è un [5] nelle vicinanze.
MINI_GAME_CATCHKING_START_QUESTION_01	Devi pagare quanto segue per un gioco: %d Yang and %s: %d lots
MINI_GAME_CATCHKING_START_QUESTION_02	Vuoi giocare adesso?
MINI_GAME_CATCHKING_TOOLTIP_CARD1	Può prendere la seguente carta: [1]
MINI_GAME_CATCHKING_TOOLTIP_CARD2	Può prendere le seguenti carte: [1], [2]
MINI_GAME_CATCHKING_TOOLTIP_CARD3	Può prendere le seguenti carte: [1], [2], [3]
MINI_GAME_CATCHKING_TOOLTIP_CARD4	Può prendere le seguenti carte: [1], [2], [3], [4]
MINI_GAME_CATCHKING_TOOLTIP_CARD5	Può prendere le seguenti carte: [1], [2], [3], [4], [5]\nIf another [5] is neighbouring the card you reveal,\nyour turn ends and you won't receive any points.
MINI_GAME_CATCHKING_TOOLTIP_CARD6	Può prendere la seguente carta: [K]
MINI_GAME_CATCHKING_TOOLTIP_SCORE1	%s: 550 o più
MINI_GAME_CATCHKING_TOOLTIP_SCORE2	%s: 400 a 549
MINI_GAME_CATCHKING_TOOLTIP_SCORE3	%s: 10 a 399
MINI_GAME_CATCHKING_TOOLTIP_SCORE4	Guadagni 10 punti bonus se riveli tutte le carte di fila.
CARD_EVENT	Evento Okey Card
CATCH_KING_EVENT	Evento Cattura Re
TREASURE_KEY	Evento cassetta delle chiavi
MISSION_STATUS_COUNT	|cffF6A800|Eemoji/e_wiki|e Status:|r %d/%d
MISSION_TYPE_NAME	|cffF6A800|Eemoji/e_wiki|e Type:|r %s
MISSION_TYPE_ALL_MONSTER	Tutto mostro
MISSION_TYPE_ALL_METIN	Tutto MetinStone
MISSION_TYPE_ALL_BOSS	Tutto King&Boss
MISSION_TYPE_LEVELRANGE	 (+-%d Level)
MISSION_TYPE_SPECIAL	|cffF6A800|Eemoji/e_wiki|e Type:|r %s
MISSION_EXP	|cffF6A800|Eemoji/e_wiki|e EXP:|r %s ~ %s
MISSION_GOLD	|cffF6A800|Eemoji/e_wiki|e Gold:|r %s ~ %s
MISSION_LEFTTIME	|cffF6A800|Eemoji/e_wiki|e Left Time:|r %s
MISSION_DELETE_TEXT	Vuoi rimuovere la missione?
MISSION_REWARD_TEXT	Vuoi ottenere una ricompensa?
MISSION_END_TIME	|cffF6A800|Eemoji/e_wiki|e End Time:|r %s
MISSION_REWARD_TITLE	|cffF6A800Reward:|r
BEGGINER_EVENT	Beginner Event
LOCK_BONUS	Nº Bonus: %d (right click)
LOCK_BONUS2	Scegli Bonus (right click)
COPY_ITEM	Bonus:
COPY_ITEM1	Fare clic con il tasto destro per eliminare il bonus
COPY_ITEM2	(Vuoto)
COPY_ITEM3	Spada
COPY_ITEM4	Pugnale
COPY_ITEM5	Arco
COPY_ITEM6	Spadone
COPY_ITEM7	Campana
COPY_ITEM8	Ventaglio
COPY_ITEM9	Armatura
COPY_ITEM10	Elmo
COPY_ITEM11	Scudo
COPY_ITEM12	Bracciale
COPY_ITEM13	Scarpe
COPY_ITEM14	Collana
COPY_ITEM15	Orecchini
COPY_ITEM16	Costume
COPY_ITEM17	Capigliatura
COPY_ITEM18	Cavalcatura
COPY_ITEM19	Stola
COPY_ITEM20	Skin Arma
COPY_ITEM21	Skin Stola
COPY_ITEM22	Pet
COPY_ITEM23	Skin Cavalcatura
COPY_ITEM24	Skin Pet
RANK_TITLE	Reward Info
SEARCH_TITLE	Search-shop
NEW_AFFECT_BRAVE_CAPE	Bravery Cape	SNA
EMOJI_SELL_ITEMS	Sell: |Eemoji/key_ctrl|e + |Eemoji/key_rclick|e
SELL_PRICE_INFO	[Selling Price]
SELL_PRICE_INFO_PCS	Piece: %s
SELL_PRICE_INFO_ALL	All: %s
BUFFI_TOOLTIP_INFO	This seal will summon a shaman with dragon shaman skills. A Nickname Scroll(Buffi) will unlock the heal shaman skills. The Skills are saved at your character, not at the Buffi Seal.
BUFFI_TOOLTIP_INFO2	Buffi Costumes do not offer any bonus.
EVENTBTNMAP	Event Calendar
DS_SET_INFO	Activate 6 Dragon Stones +6 in order to take advantage of the following bonuses:
AFFECT_THIEF	Thief's Gloves	SNA
AFFECT_EXP	Experience Ring	SNA
REWARD_115	First Level 115
REWARD_PET_115	First Pet Level 115
REWARD_120	First Level 120
REWARD_LEGENDARY_SKILL	First Legendary Skill
REWARD_LEGENDARY_SKILL_SET	First Legendary Skill Set
REWARD_THANDRUIL	First Thranduil Solo
REWARD_HYDRA	First Hydra Solo
REWARD_MELEY	First Meley Solo
REWARD_OFFLINESHOP_SLOT	First all Offline Shop Slots unlocked
REWARD_INVENTORY_SLOT	First all Normal/Special Inventory Slots unlocked
REWARD_AVERAGE	First 60 AVG on Lv.75 Weapon
REWARD_ELEMENT	First Element Talisman
REWARD_BATTLEPASS	First Complete Battlepass
REWARD_CUSTOM_SASH	First Custom Sash
REWARD_AURA	First Enlightened Dream Soul
REWARD_ENERGY	First Energy Crystal
REWARD_112_BIO	First Completed 112 Bio Quest
REWARD_120_BIO	First Completed 120 Bio Quest
REWARD_LEADER_SHIP	First Leadership on Legendary
REWARD_BUFFI_LEGENDARY_SKILL	First Buffi Legendary Skill
REWARD_WINDOW_TITLE	Reward Window
Solana2_POINTS	Vidra Points
JOTUN_DUNGEON	Jotun Thrym
NEW_EXCHANGE_ADDED	%s added %s.
NEW_EXCHANGE_YOU_READY	%s You are ready to trade.
NEW_EXCHANGE_YOU_ACCEPT	%s You accept the trade.
NEW_EXCHANGE_ACCEPT	%s %s accept the trade.
NEW_EXCHANGE_YOU_ABORT	%s You abort the trade.
NEW_EXCHANGE_ABORT	%s %s abort the trade.
NEW_EXCHANGE_LEVEL	Lv. %d
NEW_EXCHANGE_ALERT1	You are giving things away for nothing in exchange,
NEW_EXCHANGE_ALERT2	and won't be able to get the Yang or items back.
EXCHANGE_TITLE	Trade with %s
EXCHANGE_TITLE_LEVEL	Trade with %s (%d)
NEW_AFFECT_CRYSTAL	Cristallo Energetico	SNA
SEARCH_EMPTY_RESULT	No items were found for these search options.
SEARCH_NEED_SLOW	You need be slow...
WIKI_CUBE_INFO	Item Costs of %s
WIKI_COST	Costs
DUNGEON_TRACK_TITLE	[] Dungeon Info
DUNGEON_TRACK_NOTIFICATION	%s#is available
DUNGEON_TRACK_CHECKBOX	Send a notification when you can enter this dungeon again.
DUNGEON_TRACK_LEVEL_INFO	Required Level:
DUNGEON_TRACK_GROUP_INFO	Group Request:
DUNGEON_TRACK_COOLDOWN_INFO	Cooldown:
DUNGEON_TRACK_TICKET_INFO	Passage Ticket
DUNGEON_TRACK_SHOP_INFO	Dungeon Shop
DUNGEON_TRACK_TELEPORT_ENTER	Teleport into Dungeon.
DUNGEON_TRACK_WARP	Teleport to Dungeon Entry NPC.
DUNGEON_TRACK_TEST	Test if you can kill the dungeon boss, without paying the Entry Ticket. Polymorph Marble is usable for free.
DUNGEON_TRACK_PERSONAL_STATISTICS	Personal Statistics
DUNGEON_TRACK_RANK_COMPLETED	Rankings: Total Completed
DUNGEON_TRACK_RANK_FASTEST	Rankings: Fastest Time
DUNGEON_TRACK_RANK_DMG	Rankings: Max Dmg To Boss
DUNGEON_TRACK_COMPLETED	Completed:
DUNGEON_TRACK_FASTEST	Fastest:
DUNGEON_TRACK_DMG	Max Dmg To Boss:
DUNGEON_TRACK_SLOW_INFO	Please be slow.
DUNGEON_TRACK_TRUE	True
DUNGEON_TRACK_FALSE	False
DUNGEON_TRACK_MOVE_UP	Move Up
DUNGEON_TRACK_MOVE_DOWN	Move Down
DUNGEON_TRACK_HIDE	Hide
DUNGEON_TRACK_DEACTIVE	Deactive
DUNGEON_TRACK_ACTIVE	Available
DUNGEON_TRACK_WHISPER_MESSAGE	%s is ready.
DUNGEON_TRACK_HIGH_LEVEL	High Level
DUNGEON_TRACK_LOW_LEVEL	Low Level
DUNGEON_TRACK_RANK_INDEX	Rank
DUNGEON_TRACK_RANK_NAME	Name
DUNGEON_TRACK_RANK_LEVEL	Level
DUNGEON_TRACK_RANK_COMPLETED_TITLE	Total Completed
DUNGEON_TRACK_RANK_FASTEST_TITLE	Fastest Time
DUNGEON_TRACK_RANK_DMG_TITLE	Max Dmg To Boss
NEW_SYSTEM	----------------------------------------------------------------------------ENABLE_YOHARA_SYSTEM
STAT_TOOLTIP_ACTION	Actions
STAT_TOOLTIP_DODGE_PER	Chance to avoid arrows
STAT_TOOLTIP_EXP	EXP
STAT_TOOLTIP_HP	HP
STAT_TOOLTIP_LEVEL	Level
STAT_TOOLTIP_MAG_ATT	Magic attack value
STAT_TOOLTIP_MAG_DEF	Magical defence
STAT_TOOLTIP_MOVE_SPEED	Movement speed
STAT_TOOLTIP_PASSIVE	Relic Bonus
STAT_TOOLTIP_POINT	Points
STAT_TOOLTIP_REACTION	Reactions
STAT_TOOLTIP_SHP	You will receive a smaller deduction on your maximum HP on Yohara.
STAT_TOOLTIP_SIMMUNE	You will receive a smaller deduction on your resistance to status changes on Yohara.
STAT_TOOLTIP_SMOVE	You will receive a smaller deduction on your movement speed on Yohara.
STAT_TOOLTIP_SP	SP
STAT_TOOLTIP_SPECIAL_ACTION	Special Actions
STAT_TOOLTIP_SSTR	You will receive a smaller damage deduction on your attacks on Yohara.
STAT_TOOLTIP_STAT	Values
STAT_TOOLTIP_SUPPORT_SKILL	Secondary Skills
STAT_TOOLTIP_TAB_CHARACTER	Character
STAT_TOOLTIP_TAB_EMOTICON	Emotions
STAT_TOOLTIP_TAB_QUEST	Quests
STAT_TOOLTIP_TAB_SKILL	Skills
TOOLTIP_HIT_PCT	Precision +%d	SA
TOOLTIP_APPLY_RESIST_MOUNT_FALL	Fall Resistance +%d%%	SA
TOOLTIP_APPLY_MONSTER_DEFEND_BONUS	Resistance to monster attacks %d	SA
TOOLTIP_APPLY_ATTBONUS_ELEMENT	Elemental Power +%d%%	SA
NEW_SYSTEM	----------------------------------------------------------------------------
SELECT_NOT_JOIN_GUILD	No Guild
MESSENGER_TEAM_GROUP_NAME	Team
MESSENGER_TITLE	Messenger
MESSENGER_WHISPER	Whisper
MESSENGER_MOBILE	Mobile
MESSENGER_DELETE_FRIEND	Delete Friend
MESSENGER_OPEN_GUILD	Open Guild
LOGIN_FAILURE_BLOCK_ROUTHER	Your PC is Blocked, Please contact on Discord: uffo007
BUFF_AFFECT_REMOVE_QUESTION	Are you sure you want to remove %s?
NEW_AFFECT_AUTO_HUNT	Auto Hunt	SNA
NEW_AFFECT_AUTO_METIN_FARM	Premium Metinfarm	SNA
